branch_id,branch_name,country_code,city,is_high_risk_branch
BR-000001,Singapore Branch 1,SG,Singapore,False
BR-000002,Abu Dhabi Branch 2,AE,Abu Dhabi,False
BR-000003,Chicago Branch 3,US,Chicago,False
BR-000004,George Town Branch 4,KY,George Town,True
BR-000005,Manchester Branch 5,GB,Manchester,False
BR-000006,Frankfurt Branch 6,DE,Frankfurt,False
BR-000007,Hyderabad Branch 7,IN,Hyderabad,False
BR-000008,Bengaluru Branch 8,IN,Bengaluru,False
BR-000009,London Branch 9,GB,London,False
BR-000010,Hyderabad Branch 10,IN,Hyderabad,False
BR-000011,Chennai Branch 11,IN,Chennai,False
BR-000012,Chennai Branch 12,IN,Chennai,False
BR-000013,Chennai Branch 13,IN,Chennai,False
BR-000014,London Branch 14,GB,London,False
BR-000015,Dubai Branch 15,AE,Dubai,False
BR-000016,Chennai Branch 16,IN,Chennai,False
BR-000017,Delhi Branch 17,IN,Delhi,False
BR-000018,George Town Branch 18,KY,George Town,True
BR-000019,Manchester Branch 19,GB,Manchester,False
BR-000020,Bengaluru Branch 20,IN,Bengaluru,False
BR-000021,Bengaluru Branch 21,IN,Bengaluru,False
BR-000022,Hyderabad Branch 22,IN,Hyderabad,False
BR-000023,Chicago Branch 23,US,Chicago,False
BR-000024,San Francisco Branch 24,US,San Francisco,False
BR-000025,Istanbul Branch 25,TR,Istanbul,True
BR-000026,Chennai Branch 26,IN,Chennai,False
BR-000027,Bengaluru Branch 27,IN,Bengaluru,False
BR-000028,George Town Branch 28,KY,George Town,True
BR-000029,London Branch 29,GB,London,False
BR-000030,Manchester Branch 30,GB,Manchester,False
BR-000031,Abu Dhabi Branch 31,AE,Abu Dhabi,False
BR-000032,Mumbai Branch 32,IN,Mumbai,False
BR-000033,Mumbai Branch 33,IN,Mumbai,False
BR-000034,San Francisco Branch 34,US,San Francisco,False
BR-000035,Mumbai Branch 35,IN,Mumbai,False
BR-000036,Delhi Branch 36,IN,Delhi,False
BR-000037,Delhi Branch 37,IN,Delhi,False
BR-000038,Frankfurt Branch 38,DE,Frankfurt,False
BR-000039,Hyderabad Branch 39,IN,Hyderabad,False
BR-000040,London Branch 40,GB,London,False
BR-000041,Delhi Branch 41,IN,Delhi,False
BR-000042,Singapore Branch 42,SG,Singapore,False
BR-000043,Delhi Branch 43,IN,Delhi,False
BR-000044,Chennai Branch 44,IN,Chennai,False
BR-000045,London Branch 45,GB,London,False
BR-000046,San Francisco Branch 46,US,San Francisco,False
BR-000047,Chicago Branch 47,US,Chicago,False
BR-000048,Mumbai Branch 48,IN,Mumbai,False
BR-000049,Delhi Branch 49,IN,Delhi,False
BR-000050,New York Branch 50,US,New York,False
BR-000051,Singapore Branch 51,SG,Singapore,False
BR-000052,Delhi Branch 52,IN,Delhi,False
BR-000053,Panama City Branch 53,PA,Panama City,True
BR-000054,Bengaluru Branch 54,IN,Bengaluru,False
BR-000055,Delhi Branch 55,IN,Delhi,False
BR-000056,Singapore Branch 56,SG,Singapore,False
BR-000057,Hyderabad Branch 57,IN,Hyderabad,False
BR-000058,New York Branch 58,US,New York,False
BR-000059,Chennai Branch 59,IN,Chennai,False
BR-000060,Hyderabad Branch 60,IN,Hyderabad,False
BR-000061,Delhi Branch 61,IN,Delhi,False
BR-000062,Manchester Branch 62,GB,Manchester,False
BR-000063,London Branch 63,GB,London,False
BR-000064,Mumbai Branch 64,IN,Mumbai,False
BR-000065,Shenzhen Branch 65,CN,Shenzhen,True
BR-000066,Dubai Branch 66,AE,Dubai,False
BR-000067,Berlin Branch 67,DE,Berlin,False
BR-000068,San Francisco Branch 68,US,San Francisco,False
BR-000069,Chennai Branch 69,IN,Chennai,False
BR-000070,Istanbul Branch 70,TR,Istanbul,True
BR-000071,Dubai Branch 71,AE,Dubai,False
BR-000072,Dubai Branch 72,AE,Dubai,False
BR-000073,Hyderabad Branch 73,IN,Hyderabad,False
BR-000074,London Branch 74,GB,London,False
BR-000075,London Branch 75,GB,London,False
BR-000076,Singapore Branch 76,SG,Singapore,False
BR-000077,Mumbai Branch 77,IN,Mumbai,False
BR-000078,Hyderabad Branch 78,IN,Hyderabad,False
BR-000079,Dubai Branch 79,AE,Dubai,False
BR-000080,London Branch 80,GB,London,False
BR-000081,Chicago Branch 81,US,Chicago,False
BR-000082,Shanghai Branch 82,CN,Shanghai,True
BR-000083,London Branch 83,GB,London,False
BR-000084,San Francisco Branch 84,US,San Francisco,False
BR-000085,Delhi Branch 85,IN,Delhi,False
BR-000086,London Branch 86,GB,London,False
BR-000087,Delhi Branch 87,IN,Delhi,False
BR-000088,Hyderabad Branch 88,IN,Hyderabad,False
BR-000089,London Branch 89,GB,London,False
BR-000090,Hyderabad Branch 90,IN,Hyderabad,False
BR-000091,George Town Branch 91,KY,George Town,True
BR-000092,San Francisco Branch 92,US,San Francisco,False
BR-000093,Mumbai Branch 93,IN,Mumbai,False
BR-000094,New York Branch 94,US,New York,False
BR-000095,Hyderabad Branch 95,IN,Hyderabad,False
BR-000096,Delhi Branch 96,IN,Delhi,False
BR-000097,London Branch 97,GB,London,False
BR-000098,San Francisco Branch 98,US,San Francisco,False
BR-000099,Chicago Branch 99,US,Chicago,False
BR-000100,Hyderabad Branch 100,IN,Hyderabad,False
BR-000101,Dubai Branch 101,AE,Dubai,False
BR-000102,Chennai Branch 102,IN,Chennai,False
BR-000103,Dubai Branch 103,AE,Dubai,False
BR-000104,Bengaluru Branch 104,IN,Bengaluru,False
BR-000105,Abu Dhabi Branch 105,AE,Abu Dhabi,False
BR-000106,Hyderabad Branch 106,IN,Hyderabad,False
BR-000107,Hyderabad Branch 107,IN,Hyderabad,False
BR-000108,Bengaluru Branch 108,IN,Bengaluru,False
BR-000109,Shanghai Branch 109,CN,Shanghai,True
BR-000110,Shanghai Branch 110,CN,Shanghai,True
BR-000111,Bengaluru Branch 111,IN,Bengaluru,False
BR-000112,San Francisco Branch 112,US,San Francisco,False
BR-000113,Hyderabad Branch 113,IN,Hyderabad,False
BR-000114,Chennai Branch 114,IN,Chennai,False
BR-000115,Chennai Branch 115,IN,Chennai,False
BR-000116,Shanghai Branch 116,CN,Shanghai,True
BR-000117,Mumbai Branch 117,IN,Mumbai,False
