membership_id,fraud_ring_id,customer_id,role
FRM-000001,FR-000001,CUST-000234,Leader
FRM-000002,FR-000001,CUST-000495,Member
FRM-000003,FR-000001,CUST-000089,Member
FRM-000004,FR-000001,CUST-000140,Member
FRM-000005,FR-000001,CUST-000424,Member
FRM-000006,FR-000001,CUST-000083,Mule
FRM-000007,FR-000001,CUST-000473,Mule
FRM-000008,FR-000001,CUST-000418,Member
FRM-000009,FR-000001,CUST-000329,Mule
FRM-000010,FR-000001,CUST-000164,Mule
FRM-000011,FR-000002,CUST-000342,Leader
FRM-000012,FR-000002,CUST-000474,Member
FRM-000013,FR-000002,CUST-000382,Member
FRM-000014,FR-000003,CUST-000116,Leader
FRM-000015,FR-000003,CUST-000324,Mule
FRM-000016,FR-000003,CUST-000124,Member
FRM-000017,FR-000003,CUST-000491,Member
FRM-000018,FR-000003,CUST-000500,Member
FRM-000019,FR-000003,CUST-000048,Member
FRM-000020,FR-000003,CUST-000476,Member
FRM-000021,FR-000003,CUST-000284,Member
FRM-000022,FR-000003,CUST-000399,Member
FRM-000023,FR-000003,CUST-000181,Member
FRM-000024,FR-000003,CUST-000210,Member
FRM-000025,FR-000003,CUST-000481,Mule
