relationship_id,customer_id_1,customer_id_2,relationship_type,is_symmetric
REL-000001,CUST-000473,CUST-000453,Business Partner,True
REL-000002,CUST-000397,CUST-000264,Sibling,True
REL-000003,CUST-000312,CUST-000457,Employer-Employee,False
REL-000004,CUST-000253,CUST-000473,Spouse,True
REL-000005,CUST-000021,CUST-000202,Sibling,True
REL-000006,CUST-000479,CUST-000058,Business Partner,True
REL-000007,CUST-000387,CUST-000056,Spouse,True
REL-000008,CUST-000277,CUST-000452,Spouse,True
REL-000009,CUST-000011,CUST-000463,Family,True
REL-000010,CUST-000351,CUST-000138,Sibling,True
REL-000011,CUST-000236,CUST-000108,Business Partner,True
REL-000012,CUST-000477,CUST-000375,Employer-Employee,False
REL-000013,CUST-000249,CUST-000394,Business Partner,True
REL-000014,CUST-000309,CUST-000366,Employer-Employee,False
REL-000015,CUST-000463,CUST-000053,Family,True
REL-000016,CUST-000355,CUST-000369,Spouse,True
REL-000017,CUST-000244,CUST-000481,Employer-Employee,False
REL-000018,CUST-000116,CUST-000244,Employer-Employee,False
REL-000019,CUST-000466,CUST-000166,Employer-Employee,False
REL-000020,CUST-000418,CUST-000076,Spouse,True
REL-000021,CUST-000024,CUST-000073,Family,True
REL-000022,CUST-000195,CUST-000343,Spouse,True
REL-000023,CUST-000302,CUST-000373,Employer-Employee,False
REL-000024,CUST-000160,CUST-000273,Business Partner,True
REL-000025,CUST-000174,CUST-000320,Business Partner,True
REL-000026,CUST-000417,CUST-000015,Sibling,True
REL-000027,CUST-000290,CUST-000287,Employer-Employee,False
REL-000028,CUST-000338,CUST-000003,Business Partner,True
REL-000029,CUST-000423,CUST-000437,Employer-Employee,False
REL-000030,CUST-000239,CUST-000054,Sibling,True
REL-000031,CUST-000424,CUST-000171,Family,True
REL-000032,CUST-000019,CUST-000246,Employer-Employee,False
REL-000033,CUST-000123,CUST-000016,Sibling,True
REL-000034,CUST-000032,CUST-000307,Spouse,True
REL-000035,CUST-000124,CUST-000294,Sibling,True
REL-000036,CUST-000326,CUST-000466,Employer-Employee,False
REL-000037,CUST-000365,CUST-000485,Family,True
REL-000038,CUST-000034,CUST-000478,Business Partner,True
REL-000039,CUST-000003,CUST-000311,Sibling,True
REL-000040,CUST-000268,CUST-000329,Spouse,True
REL-000041,CUST-000220,CUST-000028,Spouse,True
REL-000042,CUST-000106,CUST-000391,Business Partner,True
REL-000043,CUST-000024,CUST-000374,Business Partner,True
REL-000044,CUST-000071,CUST-000282,Sibling,True
REL-000045,CUST-000318,CUST-000474,Sibling,True
REL-000046,CUST-000373,CUST-000012,Business Partner,True
REL-000047,CUST-000445,CUST-000038,Employer-Employee,False
REL-000048,CUST-000047,CUST-000241,Spouse,True
REL-000049,CUST-000011,CUST-000175,Business Partner,True
REL-000050,CUST-000362,CUST-000158,Business Partner,True
