device_id,customer_id,device_type,os,first_seen_date,is_shared_device
DEV-000001,CUST-000001,Desktop,macOS,2023-06-18,True
DEV-000002,CUST-000002,Tablet,Windows,2023-09-06,False
DEV-000003,CUST-000003,Mobile,iOS,2023-02-09,False
DEV-000004,CUST-000004,Desktop,macOS,2024-11-01,False
DEV-000005,CUST-000004,Desktop,macOS,2024-10-23,False
DEV-000006,CUST-000005,Mobile,iOS,2021-02-10,False
DEV-000007,CUST-000006,Mobile,Windows,2021-03-15,False
DEV-000008,CUST-000007,Desktop,Windows,2024-08-27,False
DEV-000009,CUST-000007,Mobile,macOS,2024-12-22,False
DEV-000010,CUST-000008,Mobile,macOS,2023-09-14,False
DEV-000011,CUST-000008,Mobile,Windows,2024-09-15,True
DEV-000012,CUST-000009,Mobile,Android,2022-03-04,False
DEV-000013,CUST-000009,Mobile,Windows,2023-11-23,False
DEV-000014,CUST-000010,Mobile,Windows,2024-12-06,False
DEV-000015,CUST-000011,Mobile,iOS,2024-11-27,False
DEV-000016,CUST-000011,Desktop,Android,2023-11-10,False
DEV-000017,CUST-000012,Desktop,iOS,2024-01-04,False
DEV-000018,CUST-000013,Mobile,iOS,2023-12-03,False
DEV-000019,CUST-000013,Desktop,Android,2023-07-10,False
DEV-000020,CUST-000014,Mobile,Android,2023-02-18,False
DEV-000021,CUST-000014,Mobile,Android,2023-06-13,False
DEV-000022,CUST-000015,Desktop,Windows,2021-08-29,False
DEV-000023,CUST-000016,Desktop,Windows,2023-01-11,False
DEV-000024,CUST-000016,Desktop,Android,2023-01-26,False
DEV-000025,CUST-000017,Mobile,macOS,2023-03-25,False
DEV-000026,CUST-000017,Mobile,Android,2024-03-30,False
DEV-000027,CUST-000018,Mobile,macOS,2024-02-18,True
DEV-000028,CUST-000018,Mobile,macOS,2023-10-05,False
DEV-000029,CUST-000019,Mobile,Android,2022-07-03,False
DEV-000030,CUST-000020,Desktop,Windows,2022-06-29,False
DEV-000031,CUST-000020,Desktop,Android,2021-08-08,False
DEV-000032,CUST-000021,Mobile,macOS,2023-11-08,False
DEV-000033,CUST-000021,Mobile,Windows,2020-01-23,False
DEV-000034,CUST-000022,Mobile,macOS,2021-06-13,False
DEV-000035,CUST-000022,Mobile,Android,2022-08-15,False
DEV-000036,CUST-000023,Mobile,iOS,2021-07-07,False
DEV-000037,CUST-000024,Mobile,Android,2020-01-03,False
