location_id,city,country_code,latitude,longitude,is_high_risk
LOC-000001,Mumbai,IN,-8.5047,-36.4969,False
LOC-000002,Chennai,IN,-26.9194,-170.7005,False
LOC-000003,Bengaluru,IN,-28.2518,-38.4119,False
LOC-000004,Delhi,IN,2.4395,-15.2481,False
LOC-000005,Hyderabad,IN,45.4843,148.0788,False
LOC-000006,New York,US,-21.9414,165.4397,False
LOC-000007,Chicago,US,43.7921,153.9485,False
LOC-000008,San Francisco,US,24.7597,-108.6221,False
LOC-000009,London,GB,-36.5727,147.1146,False
LOC-000010,Manchester,GB,0.8455,140.5682,False
LOC-000011,Dubai,AE,26.4657,-103.4956,False
LOC-000012,Abu Dhabi,AE,-13.8288,168.4171,False
LOC-000013,Singapore,SG,-57.6501,77.2502,False
LOC-000014,Frankfurt,DE,57.4536,-142.5071,False
LOC-000015,Berlin,DE,-27.3609,16.9247,False
LOC-000016,Paris,FR,41.2518,2.3443,False
LOC-000017,Sydney,AU,-52.8485,-134.2136,False
LOC-000018,Toronto,CA,-14.8868,-63.8854,False
LOC-000019,Tokyo,JP,-33.6386,122.4463,False
LOC-000020,Shanghai,CN,-56.7742,118.5639,True
LOC-000021,Shenzhen,CN,50.6016,46.84,True
LOC-000022,Istanbul,TR,15.042,-126.3536,True
LOC-000023,Manila,PH,8.1981,-44.9372,True
LOC-000024,Johannesburg,ZA,-32.514,29.9986,True
LOC-000025,Panama City,PA,-59.8571,-80.4914,True
LOC-000026,George Town,KY,18.725,-16.1854,True
LOC-000027,Yangon,MM,-42.5231,-179.5255,True
LOC-000028,Pyongyang,KP,-27.5473,17.6614,True
LOC-000029,Tehran,IR,4.1455,-132.8141,True
LOC-000030,Kabul,AF,13.6437,179.6128,True
