transaction_id,account_id,customer_id,timestamp,transaction_type,channel,amount,currency,counterparty_account_id,counterparty_name,counterparty_country,merchant_id,device_id,location_id,balance_after,flag_label,aml_scenario_tag
TXN-002581,ACC-000341,CUST-000144,2023-01-01 02:47:05.000000,Credit,Online,7899.64,INR,,,,,,LOC-000024,39693.93,Normal,
TXN-006944,ACC-000905,CUST-000389,2023-01-01 05:43:30.000000,Debit,Online,10426.76,EUR,,,,,,LOC-000001,18437.36,Normal,
TXN-009359,ACC-001014,CUST-000432,2023-01-01 06:46:53.000000,Transfer,Online,30712.95,AED,,,AE,,,,9480.47,Suspicious,Cross-Border Unusual
TXN-005555,ACC-000739,CUST-000310,2023-01-01 07:39:37.000000,POS,POS,6901.99,USD,,,,MER-000043,DEV-000467,LOC-000029,34322.51,Normal,
TXN-002038,ACC-000263,CUST-000112,2023-01-01 08:01:02.000000,ATM,POS,19212.9,INR,,,,,,LOC-000029,73072.63,Normal,
TXN-008200,ACC-001083,CUST-000459,2023-01-01 11:03:47.000000,Transfer,Branch,4882.13,INR,,,,,,LOC-000030,70808.45,Normal,
TXN-004792,ACC-000619,CUST-000266,2023-01-01 14:09:09.000000,POS,POS,152945.28,EUR,,,,MER-000091,DEV-000397,LOC-000030,1688229.12,Normal,
TXN-005737,ACC-000757,CUST-000320,2023-01-01 14:37:47.000000,ATM,ATM,42484.32,USD,,,,,,LOC-000028,1516869.59,Normal,
TXN-005652,ACC-000752,CUST-000316,2023-01-01 15:55:17.000000,POS,Online,6186.78,INR,,,,MER-000130,DEV-000476,LOC-000028,41860.87,Normal,
TXN-001580,ACC-000201,CUST-000087,2023-01-01 17:47:37.000000,POS,ATM,9434.34,INR,,,,MER-000066,DEV-000131,LOC-000010,10728.59,Normal,
TXN-003766,ACC-000497,CUST-000208,2023-01-01 20:55:52.000000,Debit,Online,5663.96,INR,,,,,,LOC-000021,87308.93,Normal,
TXN-008764,ACC-001166,CUST-000491,2023-01-01 22:09:53.000000,POS,ATM,98498.09,EUR,,,,MER-000007,DEV-000739,LOC-000014,461969.55,Normal,
TXN-001860,ACC-000235,CUST-000102,2023-01-01 22:31:43.000000,POS,Branch,5311.89,INR,,,,MER-000060,DEV-000155,LOC-000007,67141.13,Normal,
TXN-002927,ACC-000386,CUST-000162,2023-01-01 23:23:30.000000,Credit,Branch,11977.22,USD,,,,,,LOC-000023,61091.08,Normal,
TXN-001707,ACC-000217,CUST-000094,2023-01-01 23:25:25.000000,Credit,Online,6260.98,INR,,,,,,LOC-000002,59137.13,Normal,
TXN-000668,ACC-000077,CUST-000036,2023-01-01 23:58:41.000000,Transfer,POS,4066.0,INR,,,,,,LOC-000028,24637.9,Normal,
TXN-008056,ACC-001060,CUST-000451,2023-01-02 05:51:19.000000,Debit,Branch,110044.82,INR,,,,,,LOC-000004,2785567.75,Normal,
TXN-006403,ACC-000839,CUST-000357,2023-01-02 06:11:56.000000,Credit,Online,1728.06,USD,,,,,,LOC-000002,19946.57,Normal,
TXN-001966,ACC-000250,CUST-000107,2023-01-02 07:21:33.000000,POS,Online,2990.37,INR,,,,MER-000016,DEV-000162,LOC-000027,289609.88,Normal,
